Accel_X,Accel_Y,Accel_Z,Gyro_X,Gyro_Y,Gyro_Z
4128,-2056,-16284,51,795,316
4160,-2140,-16228,38,772,282
4188,-2180,-16152,66,770,317
4360,-2260,-16012,-72,604,301
4252,-2072,-16020,-177,303,201
4272,-2024,-15996,-48,212,114
4276,-1984,-16000,83,25,20
4292,-2156,-15944,61,-32,88
4272,-2236,-15956,-71,-74,-44
4408,-2244,-16120,-285,-736,-454
4216,-2000,-16184,-283,-926,-540
4060,-2028,-16372,-93,-801,-448
4164,-2052,-16360,37,-635,-511
4168,-2188,-16220,157,-434,-263
4204,-2272,-16184,96,-370,-320
4244,-2152,-16328,28,-421,-286
4240,-2176,-16364,-62,-378,-133
4312,-2024,-16488,-46,-314,16
4264,-1956,-16356,151,-273,-56
4152,-2012,-16436,198,-105,82
4240,-1984,-16304,141,57,175
4340,-2028,-16308,207,41,160
4348,-2304,-16256,174,-38,153
4284,-2352,-16244,227,19,26
4340,-2384,-16076,163,-48,-103
4420,-2344,-15976,185,-162,-164
4424,-2332,-15700,268,-193,-211
4648,-2364,-15364,312,-713,-342
4600,-2216,-15124,446,-998,-408
4548,-2196,-14692,652,-1257,-470
4692,-2016,-14380,1083,-1603,-706
4948,-1848,-13104,2320,-2478,-1035
4984,-1844,-12204,3108,-3041,-1169
5260,-1752,-11288,4689,-3939,-1489
5372,-1816,-10336,6465,-5100,-1839
5116,-2892,-8784,9012,-7542,-2383
5052,-3016,-7908,9851,-8362,-2771
5192,-3688,-7764,9085,-10160,-2919
4880,-3224,-7344,7148,-12539,-3253
3548,-1472,-7488,3634,-16754,-1941
2656,-548,-7200,2163,-18023,-831
2044,196,-6620,1260,-19058,294
1664,728,-5928,1496,-20514,1260
404,696,-4784,4127,-23955,2219
-284,548,-4752,6109,-26123,2949
-1296,312,-4576,7336,-28404,3807
-2452,108,-4272,8082,-30296,4661
-4760,-644,-2752,9986,-32768,6160
-5924,-1288,-2152,9937,-32768,6813
-7048,-1628,-1968,8246,-32768,8017
-8608,-1596,-2668,5510,-32768,9864
-12348,272,-1644,43,-32768,13939
-14200,1152,-628,48,-32768,15470
-15768,1576,808,3015,-32768,16291
-17936,24,1940,6056,-32768,17334
-22104,-3496,1160,9177,-32768,17761
-26036,-4948,944,10319,-32768,17630
-29152,-7744,-1096,11182,-32768,15625
-30332,-11436,-3028,6429,-32768,14131
-30704,-9076,-4192,-10221,-32768,13038
-30212,-6488,-3148,-12419,-32768,11604
-30168,-4476,-1820,-11635,-32768,9473
-31112,-2416,-968,-10256,-32768,8342
-31280,-2040,-896,-9711,-32768,8580
-31332,-2088,-1236,-10002,-32768,9568
-31264,-1916,-1880,-11118,-32768,9837
-30836,-1468,-3156,-9098,-31874,7892
-30780,-1288,-4156,-7244,-29501,6085
-30588,-536,-4956,-5116,-26122,4255
-28936,-116,-5244,-1194,-18949,1751
-28016,-236,-5000,-652,-16014,1177
-26796,-64,-4644,-351,-13327,279
-26056,720,-4088,628,-11319,-339
-24540,1008,-3684,1330,-7557,-219
-23696,1060,-3684,2125,-6082,-283
-23300,964,-3664,3182,-4431,-446
-22832,684,-3640,4250,-2534,-1054
-21692,372,-3560,5568,-101,-2239
-21292,444,-3400,5844,988,-2738
-20808,892,-3144,6516,1973,-3256
-20484,532,-3264,6459,2878,-3560
-19832,840,-2960,5907,4105,-3066
-19520,700,-2972,5762,4923,-2995
-19400,616,-2868,5552,5567,-2558
-19260,460,-2956,5671,6102,-2223
-19384,-144,-3340,5823,6919,-2057
-19828,-524,-3820,5714,7326,-1990
-20288,-688,-4548,5595,7881,-2202
-21028,-456,-5468,5608,8495,-2506
-22616,-676,-6528,6727,10954,-2852
-23100,-1132,-6864,7213,12776,-3226
-23548,-1592,-7052,7683,14439,-3532
-24024,-2224,-7192,7954,16198,-4083
-24964,-2908,-7804,8213,19270,-5864
-25512,-3044,-7836,8386,20742,-6788
-26228,-3372,-7896,8616,22347,-7449
-26972,-4000,-8024,8511,24509,-7985
-27740,-5776,-7524,7199,28972,-8880
-27532,-6344,-6720,6720,30270,-9799
-27460,-6900,-6488,6350,31358,-10769
-27660,-7496,-6488,5721,32003,-11784
-29128,-8768,-7892,3965,32767,-14121
-29956,-9104,-8508,2552,32767,-15280
-30088,-9744,-8356,1213,32767,-16407
-29656,-10288,-7840,-672,32767,-17471
-28524,-9368,-6904,-5523,32767,-18265
-27644,-8768,-6936,-7242,32767,-18315
-26044,-7496,-5836,-7509,32767,-18075
-23896,-7736,-5840,-8169,32767,-18174
-22496,-7828,-5844,-9726,32767,-18120
-21292,-7112,-5492,-11119,32767,-17752
-19500,-6124,-6588,-12031,32767,-17468
-16140,-4472,-4992,-12210,32767,-15561
-14920,-4380,-5364,-11945,32767,-14617
-13996,-4652,-5796,-12545,32767,-13577
-10844,-3852,-5912,-14162,32767,-12282
-9844,-2864,-5628,-13773,32767,-11930
-8448,-1532,-4864,-13114,32767,-11221
-5984,-820,-4356,-12315,32767,-10112
-2768,216,-3756,-8883,28955,-8884
-1564,672,-3172,-7090,27010,-8576
-100,824,-3228,-4979,24951,-8046
940,100,-3692,-4722,22425,-7745
2296,644,-4100,-4456,18659,-6852
3220,440,-4236,-4954,16377,-6066
4232,784,-4668,-5574,13688,-5929
4828,1536,-4752,-5025,11082,-5423
5640,1632,-5612,-4951,6159,-3817
5940,1444,-6200,-4742,4172,-3182
5824,1408,-7180,-4742,2982,-2165
5512,1136,-8352,-4986,2324,-1444
4976,864,-10160,-3709,2043,-369
5272,572,-10856,-3232,1323,-75
5080,628,-11620,-2720,-77,1857
5492,492,-11960,-2192,334,134
5348,416,-12876,-1208,-515,722
4272,-176,-14712,50,1443,1364
4304,-512,-15100,495,2791,1620
4740,-452,-14772,1489,4282,1790
5332,-1056,-14224,2827,5048,1707
6980,-2056,-13884,3152,3946,1933
6756,-2724,-14228,2473,3521,2168
6596,-2980,-14676,1679,3637,2419
6328,-3144,-15100,785,3965,3139
7172,-2168,-14416,-631,3999,2997
7760,-2832,-15176,-895,3817,2485
8408,-2224,-14416,-1375,2342,2226
8744,-1960,-14744,-314,387,2094
8120,-1764,-15968,271,-3062,1049
7180,-1816,-16492,887,-3112,632
6576,-1996,-17096,1457,-2298,145
6088,-2200,-17348,1245,-1112,129
6484,-2244,-16916,424,461,31
6668,-1996,-16612,313,505,-176
6800,-1724,-16260,471,487,-79
6600,-1720,-15936,460,556,90
6716,-1652,-15612,812,604,-46
6608,-2108,-15200,1206,487,-58
6664,-2032,-14904,1193,403,-55
6632,-2336,-15044,1187,231,-126
6440,-2596,-15260,785,6,-485
