Accel_X,Accel_Y,Accel_Z,Gyro_X,Gyro_Y,Gyro_Z
-1032,-2504,-16988,4,3,-136
-1032,-2512,-16944,-73,-31,-150
-1040,-2384,-16920,-65,13,-144
-932,-2380,-16920,-75,50,-100
-1036,-2324,-16956,-46,-46,-186
-1016,-2244,-16876,-4,126,-119
-884,-2224,-17020,-87,53,-44
-912,-2320,-16968,-96,-45,-32
-1036,-2196,-16904,-40,34,-7
-968,-2288,-17004,34,72,-55
-1092,-2288,-17028,-10,-64,0
-1068,-2328,-16848,-73,144,69
-944,-2296,-16920,-9,65,85
-936,-2308,-16936,-36,-32,98
-980,-2340,-16928,-28,-46,122
-1004,-2524,-17032,42,-20,83
-1012,-2592,-16980,-28,-17,78
-1084,-2584,-17004,-39,-48,63
-1060,-2504,-17096,-92,11,30
-1036,-2400,-16948,-58,42,52
-1116,-2464,-16916,-27,96,50
-1020,-2404,-16996,-55,113,1
-1008,-2404,-16824,-50,129,10
-948,-2344,-16888,114,47,-74
-1020,-2420,-16880,119,-22,1
-912,-2448,-16932,-35,4,-36
-1052,-2428,-16964,28,13,-12
-1028,-2436,-16980,-31,64,-41
-1060,-2356,-16980,-38,-1,-39
-1168,-2404,-16820,-17,206,9
-888,-2432,-16964,26,-76,-13
-1024,-2464,-16820,-13,-96,54
-1020,-2624,-17036,68,25,-4
-1076,-2792,-16900,38,97,-48
-1020,-3000,-16796,36,214,-108
-820,-3452,-16688,-26,133,-241
-820,-3892,-16536,-13,149,-417
-796,-4524,-16536,-190,79,-518
-740,-5044,-16440,-478,-94,-759
-1060,-6160,-16580,-1579,-509,-1000
-1292,-6424,-16820,-2201,-965,-1589
-1620,-6400,-17180,-1982,-479,-2488
-1792,-6612,-17012,-1919,37,-3177
-1280,-7268,-16576,-2324,98,-4492
-1280,-7392,-16276,-2779,19,-5092
-1084,-7400,-15880,-3287,40,-5742
-848,-7364,-15592,-3920,-169,-6335
-732,-6932,-15072,-4481,-673,-7717
-696,-6896,-14944,-4759,-1007,-8490
-768,-6788,-14708,-5143,-1384,-9084
-768,-6624,-14704,-5566,-1697,-9730
-1344,-6024,-14568,-6460,-2523,-11160
-1488,-5328,-14564,-6748,-2917,-11756
-1812,-4808,-14748,-6940,-3197,-12357
-2164,-4080,-15088,-7181,-3390,-12853
-2660,-2748,-15480,-7478,-3736,-13576
-2936,-2112,-15676,-7626,-3832,-13834
-3348,-1528,-15824,-7928,-3829,-14144
-3964,380,-16356,-7845,-3736,-14347
-4288,1244,-16552,-7750,-3644,-14334
-4288,1956,-16624,-7469,-3458,-14389
-4312,2564,-16692,-7168,-3554,-14522
-4656,4260,-17300,-6738,-3494,-13910
-4852,4692,-17480,-6253,-2891,-13205
-4680,4836,-17460,-5525,-2300,-12499
-4284,4748,-17228,-4807,-2007,-12006
-3952,3928,-16888,-4120,-1895,-11376
-3900,3720,-16692,-4164,-1776,-10971
-3604,3880,-16700,-4282,-1806,-10486
-3672,4632,-16572,-3652,-1732,-9719
-3412,4852,-16316,-2985,-1384,-9275
-3196,4728,-16360,-2660,-1170,-9193
-2756,5316,-16396,-2706,-1580,-9103
-3332,6932,-16936,-2145,-2383,-7781
-3548,7652,-17172,-2146,-2045,-6961
-3676,8692,-17544,-2032,-1948,-5977
-3764,9964,-17892,-1511,-1930,-4910
-4244,11412,-18832,-692,-1270,-1210
-4332,11340,-18952,-255,-704,576
-4424,11044,-18916,230,-229,2104
-4464,10684,-18668,1037,151,3326
-4508,9196,-18256,2885,1079,5658
-4636,8112,-18308,2837,1450,7283
-4408,7368,-17920,2811,1799,8634
-4416,6392,-17912,2587,2143,9392
-4396,5976,-17912,3144,2119,10421
-4608,5268,-17936,3523,2327,10685
-4600,4936,-17748,3934,2776,10972
-4528,4436,-17728,4260,2947,11291
-4184,4132,-17360,4706,3336,11901
-4104,3844,-17268,5064,3336,12104
-4196,3284,-17236,5339,3188,12441
-4328,2700,-17316,5332,3202,12686
-4560,1752,-17392,5273,3353,13127
-4616,1404,-17520,5366,3687,13233
-4528,876,-17436,5597,3962,13232
-4404,396,-17440,5605,4354,13035
-3916,-288,-17060,5509,4723,12861
-3576,-356,-16944,5330,4530,12857
-3484,-544,-16888,5259,4463,13114
-3292,-716,-16884,4976,4481,13464
-2916,-1056,-16648,4664,4500,14109
-2788,-1244,-16536,5016,4535,14091
-2532,-1696,-16404,5625,4638,13524
-2232,-1892,-16072,6154,4657,12897
-1684,-2620,-15732,6630,4589,11972
-1508,-3168,-15644,6185,4609,11834
-1236,-3528,-15696,5775,4301,11911
-712,-2856,-15516,6104,4188,10741
-300,-3992,-15232,5546,3785,9836
-160,-4580,-15252,4976,3689,9323
-104,-4580,-15156,4470,3321,8852
80,-4200,-15328,4927,2739,8373
1320,-4804,-15188,4270,2075,7492
96,-4884,-15484,4350,2371,6221
32,-5568,-15408,3647,2460,6437
676,-5288,-15504,3325,1956,5608
472,-5236,-15664,2441,1337,4536
452,-4820,-15932,2152,982,4320
344,-4684,-16168,2190,641,3989
64,-4840,-16304,2089,597,3622
24,-5128,-16388,1814,719,3318
324,-4972,-16364,522,728,2950
332,-4596,-16376,500,437,2363
288,-4348,-16428,641,334,1804
216,-4236,-16632,298,191,1735
336,-3580,-16600,3,197,1644
-28,-2960,-16644,996,113,1879
28,-3576,-16760,1163,234,2188
20,-4148,-16728,867,374,2100
72,-4152,-16812,480,253,1669
96,-3960,-16880,540,126,1338
-256,-3716,-17224,430,255,1145
-96,-3516,-17308,247,492,1180
-72,-3276,-17140,401,571,1164
-28,-3292,-17068,504,607,988
4,-3200,-17084,630,657,844
196,-2924,-16788,970,803,648
240,-2964,-16836,1015,791,554
344,-3064,-16796,909,766,572
444,-3168,-16660,759,728,555
464,-3260,-16512,656,662,457
556,-3124,-16528,467,398,273
408,-2976,-16768,219,311,276
276,-2656,-16896,31,354,417
316,-2300,-16864,146,357,607
328,-2432,-16916,407,372,674
244,-2820,-16824,868,430,636
336,-3064,-16848,743,460,699
388,-3396,-16804,643,381,662
360,-3480,-16728,583,399,491
432,-3440,-16716,502,378,418
276,-3272,-16820,315,298,266
256,-3288,-16832,245,425,281
420,-3044,-16808,284,536,334
388,-3136,-16772,431,422,302
412,-3232,-16612,544,321,256
400,-3576,-16820,505,343,205
388,-3636,-16596,258,384,199
544,-3496,-16732,123,333,127
564,-3348,-16788,21,303,69
