Accel_X,Accel_Y,Accel_Z,Gyro_X,Gyro_Y,Gyro_Z
4840,-1560,-16316,320,-158,445
5032,-1852,-16152,-5,-158,440
4900,-1928,-16100,-90,-194,298
4892,-1836,-16112,-60,-155,298
4992,-1804,-16152,-33,-162,324
4924,-1896,-16036,28,-299,305
4780,-1864,-16240,-3,-357,274
4752,-1936,-16348,-135,-305,237
4704,-2076,-16384,-242,-281,262
4696,-2000,-16480,-289,-210,161
4556,-1868,-16480,-312,158,123
4608,-1852,-16340,-332,282,50
4760,-1868,-16440,-271,316,67
4644,-1892,-16288,-300,395,45
4604,-1876,-16332,-485,640,109
4720,-1700,-16228,-865,896,159
4924,-1540,-16020,-804,526,219
4780,-1484,-16092,-592,464,185
4836,-1484,-16040,-538,513,268
5012,-1524,-15940,-633,185,300
4992,-1496,-16096,-821,-23,425
4896,-1188,-16076,-455,65,400
4880,-1392,-15988,270,264,305
5156,-1656,-15968,-80,-168,363
4920,-1560,-16048,104,-296,291
5016,-1728,-15936,285,-332,228
5004,-1720,-15868,241,-285,94
4956,-1616,-15732,167,-344,176
5112,-1484,-15336,339,-661,160
5056,-1516,-15268,327,-785,136
5148,-1552,-15072,166,-1129,193
5120,-1552,-14808,90,-1452,191
5208,-1644,-13992,165,-2179,182
5152,-1028,-13516,653,-2691,155
5308,-1300,-12840,918,-3237,197
5504,-1140,-11920,1313,-4061,250
5852,-1296,-9476,2427,-5952,422
5972,-1588,-8236,2810,-7420,418
6052,-1460,-7044,3109,-9280,211
6076,-1864,-5728,2610,-11350,416
5536,-1460,-3932,1199,-15841,126
4828,-1332,-3016,-244,-18684,505
3900,-516,-2504,-1326,-21428,719
2856,-268,-2092,-1431,-23932,1165
572,-404,-1540,-1076,-27992,2275
-716,-796,-1764,-1173,-29849,2549
-1972,-1092,-2312,-1872,-31750,2445
-3580,-764,-3720,-4292,-32768,2099
-6448,3496,-6932,-7951,-32768,3281
-9148,6120,-9296,-7561,-32768,4861
-11284,7800,-10276,-5628,-32768,6994
-12500,8612,-10912,-1363,-32768,8473
-14436,4988,-11032,8154,-32768,9123
-15032,2432,-9888,9840,-32768,10611
-15012,396,-8544,9285,-32768,11346
-15144,-1144,-6980,8092,-32768,12094
-15916,-2104,-4688,4307,-32768,12649
-17148,-2080,-4324,2614,-32768,12618
-19060,-1892,-3840,673,-32768,12607
-20516,-676,-3028,-73,-32768,12121
-23912,-328,-2120,1220,-32768,11469
-25408,-704,-1640,947,-32768,11174
-27572,-588,-2364,588,-32768,9828
-29692,-1236,-2212,1821,-32768,10450
-30396,-2344,-3720,2043,-32768,8872
-31116,-2328,-4952,916,-32768,7678
-31696,-1948,-6236,-73,-31490,5750
-32768,-2000,-7912,-1529,-26106,6324
-30616,-1736,-9412,-5886,-18866,6608
-29792,-1064,-9312,-8017,-17177,6177
-29752,-584,-9316,-9186,-15161,5537
-27908,960,-9180,-9676,-12680,3618
-27224,1132,-9532,-8457,-10525,2535
-26376,1984,-9388,-5997,-8657,1582
-25752,2200,-9536,-3358,-6561,69
-24612,2288,-9276,2187,-3151,-2094
-24032,2148,-9156,3838,-1072,-2827
-23108,2296,-8872,5129,536,-3453
-22384,2364,-8252,6173,1837,-3916
-20992,2636,-7000,7348,4124,-4222
-20448,2704,-6264,8153,5145,-4378
-19880,2568,-5524,8646,6031,-4206
-19200,2092,-4828,8658,6895,-4011
-17824,1356,-3500,7794,8167,-3890
-17348,1200,-2748,6961,8366,-3784
-16740,924,-1920,5763,8264,-3493
-16164,928,-1148,4565,8001,-3163
-15392,1360,-520,2899,6578,-2676
-15460,1468,-804,2525,6104,-2424
-15568,1292,-1208,1940,5782,-2091
-15572,1196,-1512,1335,5610,-1854
-15564,924,-2168,844,5052,-1979
-15652,824,-2556,925,4548,-2303
-16124,780,-2772,826,4649,-2578
-16308,760,-2832,768,4870,-2650
-16264,1028,-2460,828,4693,-2403
-16212,1116,-2336,1114,4400,-2138
