Accel_X,Accel_Y,Accel_Z,Gyro_X,Gyro_Y,Gyro_Z
-7040,-4360,-15012,-317,-164,-77
-7160,-4284,-15160,-309,-137,-143
-7164,-4256,-15072,-238,-71,-152
-7256,-4220,-15332,-173,-32,-144
-7232,-4244,-15296,-164,-29,-180
-7276,-4140,-15364,-202,-90,-147
-7216,-4136,-15312,-180,-44,-155
-7236,-4056,-15264,60,196,-101
-7088,-4144,-15144,124,116,-75
-7132,-4176,-15036,137,15,-94
-7088,-4200,-15232,71,15,-66
-7116,-4192,-15132,-242,74,124
-7000,-4064,-15164,-133,-24,70
-7040,-4020,-15332,109,-114,22
-7172,-4136,-15244,225,-26,63
-7204,-4388,-15256,110,104,118
-7156,-4404,-15140,63,103,81
-7180,-4384,-15204,25,67,106
-7228,-4344,-15220,-171,138,118
-7156,-4368,-14876,34,130,101
-7140,-4372,-15184,183,-5,-7
-7136,-4356,-14976,181,-63,-66
-7156,-4572,-15028,159,-8,-94
-7076,-4924,-14968,133,75,-53
-6952,-5548,-14960,233,85,-26
-6968,-6808,-14828,325,36,-106
-6860,-8668,-14908,104,65,-470
-7352,-11052,-15452,-2490,-29,-1892
-7664,-11196,-15572,-3265,232,-2665
-7900,-11216,-15684,-3853,413,-3417
-7620,-11492,-15536,-4318,105,-4765
-7712,-11848,-15592,-4814,-134,-5789
-8016,-11692,-15464,-5404,-251,-6882
-8344,-11332,-15200,-5685,-458,-7620
-8572,-11260,-14100,-6757,171,-9046
-8340,-11228,-13784,-7817,292,-9882
-8092,-10836,-12696,-8374,-86,-11152
-7520,-9000,-12608,-9450,-1248,-13795
-7388,-7860,-12364,-9286,-1976,-14527
-7172,-7456,-12248,-8906,-2442,-14868
-7092,-8604,-11908,-7475,-4113,-16724
-7524,-9596,-11668,-7875,-4927,-17732
-8068,-9972,-11576,-9161,-5794,-18749
-9484,-8700,-11920,-12526,-6988,-21137
-9840,-6804,-12204,-13487,-7318,-22210
-10308,-5096,-12644,-13299,-7607,-22945
-11176,-3456,-12496,-11845,-7410,-23429
-11484,-3344,-12176,-10847,-7460,-23407
-11612,-3416,-12508,-10671,-7725,-23803
-12136,-1532,-13832,-13314,-9180,-24171
-12780,320,-14216,-13773,-9256,-23474
-13132,2024,-14616,-12634,-8611,-22393
-12844,1464,-14652,-9643,-5547,-20412
-12308,592,-14380,-9520,-4820,-20118
-11828,952,-14400,-10583,-5193,-19728
-12184,2932,-15216,-12040,-5792,-18031
-12096,4012,-15888,-12046,-4797,-16626
-11584,4980,-15736,-10922,-3436,-15207
-10344,4144,-15184,-8295,-1431,-12860
-9636,3732,-14332,-7411,-1117,-12230
-9080,3024,-13904,-6514,-1458,-11703
-8688,2528,-13808,-5925,-1871,-10615
-8440,2404,-13904,-5641,-2041,-9900
-8308,2436,-13856,-5283,-2064,-9177
-7720,2484,-13524,-3637,-1733,-7855
-7348,2276,-13536,-2394,-2125,-7390
-7428,1968,-13572,-1075,-2734,-6996
-7792,1156,-13808,-253,-3290,-6573
-8656,100,-15128,-949,-3539,-5403
-8964,188,-15492,-1292,-2862,-4834
-8976,528,-15640,-910,-2114,-4327
-8832,640,-15648,136,-1411,-3857
-8208,120,-15488,1356,-695,-2744
-7928,-132,-15232,1588,-952,-2120
-8080,-548,-15472,1515,-1149,-1540
