Accel_X,Accel_Y,Accel_Z,Gyro_X,Gyro_Y,Gyro_Z
-3648,1156,-16728,-164,-146,-14
-3720,1200,-16772,-16,-189,-27
-3796,1180,-17080,-79,-169,-89
-3780,1192,-17064,-59,-18,-55
-3764,1128,-16864,92,130,-37
-3552,1028,-16712,33,-103,-144
-3564,1100,-16736,-25,-315,-164
-3612,1184,-16792,-14,-386,-145
-3768,1092,-16804,-74,-379,-139
-3772,1236,-17008,-218,-389,-107
-3892,1212,-17056,-162,-239,-69
-3912,1128,-16992,-257,-37,-97
-3840,1348,-17020,-161,-3,-144
-3904,1296,-17060,69,128,-124
-3824,1240,-16896,1,146,-53
-3864,1216,-16876,58,87,-80
-3836,1180,-16844,79,87,-62
-3792,1232,-16828,80,96,-46
-3776,1176,-16692,-79,50,-39
-3796,1164,-16688,-117,9,1
-3856,1196,-16756,-107,-36,-34
-3896,1200,-16740,-71,80,-67
-3732,1096,-16712,79,281,21
-3668,1132,-16556,-183,114,18
-3604,1228,-16616,-350,-141,76
-3628,1396,-16884,-400,-354,151
-4048,1700,-17012,-442,-268,453
-4052,1832,-17204,-629,-218,728
-4020,2192,-17412,-854,-142,1039
-3976,2616,-17328,-951,-21,1273
-3848,4228,-17952,-1130,-422,2333
-4164,5680,-18476,-1621,-368,3852
-4620,6028,-18256,-1215,478,5126
-4596,5976,-18368,-1180,1247,6421
-3784,8336,-18464,-1150,1141,10288
-4420,9220,-18828,-189,1386,12220
-4484,9536,-18428,787,2300,14254
-4392,9068,-18416,1815,2547,16337
-4348,8540,-17500,1930,4430,17929
-4128,8064,-17092,2904,3157,18221
-3960,6588,-17340,2623,1434,17888
-4048,5948,-17484,873,338,16854
-4888,6708,-17176,-1995,679,16319
-5068,6836,-16916,-2391,1576,16339
-4896,6612,-16572,-2477,2641,16221
-4980,6872,-16732,-1760,3527,16163
-4680,6100,-15552,-3097,4465,17259
-3988,5816,-14872,-4407,4423,17508
-3364,6328,-14356,-4943,3584,17399
-3176,7168,-14136,-3748,2551,16936
-3636,7584,-13556,2846,1818,15606
-3764,6840,-13740,6646,1256,14933
-3888,5580,-14100,9433,556,14159
-3968,4540,-14580,10971,-362,13580
-4864,2696,-15372,12015,-1487,13791
-5432,1832,-16076,11461,-1673,14667
-5808,1028,-16840,9883,-1631,16044
-5796,156,-16208,6066,-692,18304
-5720,-736,-16940,4307,-392,19373
-5484,-176,-16684,4338,-675,19511
-5684,-984,-16568,5503,-847,19414
-5724,-3568,-17128,3907,-1738,19620
-5812,-4172,-17712,1622,-1500,19042
-6144,-3640,-17616,813,-234,18760
-5556,-2716,-17496,1080,921,18839
-3804,-2064,-15720,3373,1461,19662
-3376,-2196,-15272,4851,1110,20355
-2760,-3460,-14684,4959,255,20942
-2096,-3972,-14292,4542,-1514,21063
-3708,-6620,-16988,3061,-6414,18356
-4880,-7076,-18352,1280,-5169,15934
-5072,-6040,-18740,320,-2590,14004
-3648,-3788,-18336,153,1789,10806
-2696,-3168,-17496,1289,2882,9619
-1692,-2640,-16840,2457,2631,8590
-916,-2628,-16644,3232,1653,7656
-976,-2700,-16456,4027,263,6286
-1056,-3008,-16604,4417,234,5326
-1108,-3504,-16660,4411,402,4637
-1072,-3760,-16440,4240,687,3911
-508,-3744,-16332,3599,717,2426
-416,-3596,-16252,2903,401,2117
-328,-3528,-16240,2271,299,1819
-244,-3552,-16132,1770,-22,1394
-432,-2972,-16744,1317,-792,350
-816,-2708,-17088,1011,-726,209
-976,-2392,-17488,620,-487,151
-1064,-2228,-17724,298,-77,78
-1140,-1336,-17824,218,328,129
-1144,-1392,-17628,638,647,131
-912,-1568,-17864,610,744,-138
-892,-1156,-17812,532,431,-371
-1420,-812,-17844,1103,698,-490
-1328,-1068,-17632,1174,1193,-182
-1060,-1368,-17636,595,1319,19
-932,-1552,-17240,-211,1357,218
-676,-1356,-17016,-1819,1654,531
-588,-1104,-16688,-2014,1603,374
-384,-848,-16372,-1827,1356,103
-316,-796,-16352,-1520,1001,-234
-196,-336,-16572,-829,260,-786
-360,-260,-17012,-896,-121,-791
-320,344,-16892,-247,-512,-1052
