Accel_X,Accel_Y,Accel_Z,Gyro_X,Gyro_Y,Gyro_Z
-2584,-4868,-16144,-19,108,39
-2552,-4884,-16088,-225,214,111
-2604,-4636,-16128,-259,230,69
-2404,-4708,-15828,-86,162,31
-2396,-4760,-15948,48,-2,-20
-2560,-4712,-15904,31,-48,-44
-2548,-4680,-15872,102,28,-20
-2404,-4840,-15788,-15,-4,74
-2436,-4992,-15936,-324,-183,138
-2636,-4720,-15844,-573,-154,148
-2556,-4520,-16068,-316,-183,196
-2592,-4460,-16136,-160,-134,125
-2600,-4432,-16004,137,-89,71
-2508,-4464,-16144,264,-100,88
-2496,-4516,-16104,206,-139,100
-2620,-4748,-16104,68,-110,217
-2596,-4764,-16156,-214,-68,313
-2600,-4676,-16052,-262,-113,287
-2628,-4560,-16008,-60,-120,206
-2540,-4604,-16108,149,-75,176
-2700,-4772,-15956,227,-199,196
-2636,-4880,-15828,169,-251,156
-2660,-4984,-15908,35,-253,214
-2720,-5084,-15992,-333,-212,309
-2676,-4888,-15836,-486,-116,333
-2564,-4700,-15896,-132,-218,260
-2552,-4792,-15864,45,-438,129
-2608,-4904,-16040,25,-501,130
-2688,-4788,-16088,-103,-480,231
-2692,-4908,-16088,-363,-444,274
-2376,-4892,-16492,-795,-717,525
-2328,-4836,-16644,-1042,-942,751
-2360,-4420,-16992,-1251,-1394,1028
-2260,-4200,-17232,-1114,-1765,1500
-1272,-4204,-17468,-753,-4020,2756
-948,-4984,-18032,-985,-6611,3079
-2392,-5696,-19908,-1729,-8899,2709
-4832,-5900,-21300,-2126,-8454,2255
-8688,-5660,-23724,-477,-844,492
-9336,-5592,-24304,-363,3609,236
-8528,-5400,-23848,102,7258,346
-8016,-5296,-24136,933,10373,-383
-5960,-6140,-23964,917,11364,-1601
-6444,-6584,-25028,-474,13403,-1482
-5776,-6816,-25124,-1940,14386,-1260
-5976,-6584,-24896,-2923,15177,-1844
-4844,-4412,-22704,-1604,17033,-3250
-4088,-4780,-22372,-1296,18006,-3266
-2928,-4600,-21780,96,18187,-3096
-2040,-5468,-21052,729,17606,-3369
-1688,-6200,-20760,1315,15011,-4565
-2468,-7136,-21356,329,15134,-4867
-2572,-7060,-20992,-762,15972,-5263
-2188,-7888,-20480,-2393,16999,-5565
-1500,-6088,-20164,-5285,17785,-6579
-1504,-4436,-19696,-6878,18582,-5959
-1188,-3088,-18860,-6399,19672,-5497
-612,-2884,-18396,-5470,20687,-5514
656,-2496,-16772,-3227,20907,-5830
968,-2464,-16084,-2557,20859,-6140
1332,-2196,-15204,-1852,20879,-6403
1700,-2280,-14556,-1572,20843,-6165
2648,-2560,-13188,-2419,21023,-5427
2916,-2808,-12404,-2945,21416,-4979
3268,-2688,-11500,-3395,21809,-4825
3932,-2544,-11012,-3479,22078,-4766
5108,-2000,-10148,-3453,22250,-4641
5608,-1720,-9696,-3309,21830,-4623
5792,-1416,-9412,-3300,21140,-4370
5616,-1064,-9028,-3087,20828,-3995
5960,-1252,-8444,-2303,21049,-3253
6220,-1480,-8032,-2247,20758,-3106
6348,-1428,-7584,-2353,20685,-3160
6816,-960,-6876,-2033,20784,-2847
8420,-956,-6080,-765,19457,-3182
8492,-828,-5588,-453,18422,-3359
8516,-884,-4952,-114,18061,-3486
8872,-1056,-4596,61,17790,-3379
9600,-1224,-4368,209,17100,-3483
10812,-1276,-3360,318,16392,-4036
11476,-868,-2844,123,15778,-4136
11896,-216,-2320,-41,15125,-3874
12436,240,-1752,10,14675,-3358
14220,108,-940,42,12080,-2449
14496,152,-836,-254,10762,-2107
14852,60,-644,-630,9947,-1632
15284,176,-432,-912,9040,-1371
15564,612,-496,-852,7916,-1338
16048,672,-700,-660,5492,-920
16392,692,-900,-883,3996,-768
16324,548,-1240,-869,2835,-613
15976,576,-1668,-1063,2213,-345
15720,624,-2040,-1260,1808,2
15752,812,-2680,-1445,897,582
15836,728,-3000,-1204,567,863
15852,388,-3264,-916,200,1032
15780,108,-3308,-791,-359,1183
15684,-268,-3836,-658,-936,1111
15088,-360,-5028,-913,-1381,836
14848,-132,-5464,-869,-1069,1066
14904,-128,-5652,-583,-798,1091
15004,-264,-5688,10,-748,946
14940,-420,-5716,417,-644,774
15072,-848,-5896,455,-1159,687
14936,-856,-6072,93,-1229,817
14936,-836,-6308,-160,-1081,882
14824,-892,-6244,-194,-884,916
14808,-956,-6392,33,-829,800
14612,-1052,-6472,291,-640,430
14564,-1064,-6520,383,-435,343
14692,-1012,-6660,357,-421,235
14700,-1040,-6788,211,-385,319
14804,-892,-6716,207,-378,206
14812,-1012,-6596,412,-629,47
14768,-820,-6760,312,-605,78
