Accel_X,Accel_Y,Accel_Z,Gyro_X,Gyro_Y,Gyro_Z
-3684,-3284,-16696,602,-334,131
-3876,-3608,-16996,-35,-126,344
-3924,-3544,-16960,23,73,309
-3768,-3580,-16844,109,281,213
-3708,-3584,-16688,210,206,165
-3572,-3476,-16540,121,264,172
-3432,-3416,-16360,146,243,250
-3356,-3572,-16276,118,89,269
-3408,-3704,-16492,101,-18,272
-3396,-3760,-16336,60,23,182
-3408,-3724,-16444,117,-104,184
-3468,-3792,-16424,-63,-204,128
-3528,-3712,-16484,-18,-153,39
-3508,-3760,-16484,210,-121,-15
-3496,-3780,-16536,207,-108,-74
-3516,-3784,-16572,177,-14,-146
-3400,-3784,-16500,98,58,-80
-3364,-3672,-16596,-147,13,-135
-3364,-3548,-16520,-37,-13,-138
-3364,-3688,-16452,61,-79,-253
-3412,-3532,-16516,69,-145,-265
-3440,-3620,-16580,117,-143,-273
-3420,-3672,-16652,90,-122,-227
-3512,-3716,-16636,10,-64,-215
-3516,-3592,-16480,10,-90,-227
-3476,-3560,-16556,40,-156,-265
-3544,-3512,-16520,-43,-144,-190
-3532,-3420,-16556,23,-173,-212
-3456,-3448,-16604,11,-177,-191
-3428,-3348,-16752,-187,-133,-17
-3408,-3200,-16812,-339,-165,49
-3376,-3024,-17184,-611,-258,97
-3376,-2660,-17376,-543,-198,265
-3332,-2476,-18228,-1468,-407,695
-3768,-1536,-18924,-2314,-666,1024
-4120,-580,-19548,-3262,-529,1411
-4404,1412,-20568,-4213,-864,2180
-6056,6148,-23112,-4771,729,4915
-6380,8528,-22736,-4222,2270,7300
-5952,9776,-22464,-2548,3625,9294
-5752,9996,-22604,-2248,4292,11544
-6124,11856,-21136,-534,6261,16078
-6152,11432,-20596,-28,7043,18656
-6472,11184,-19968,80,7138,21676
-7216,10516,-19428,472,7001,24252
-8524,8468,-19088,1170,6386,27679
-10036,6632,-19260,2255,5749,27880
-10984,5284,-19408,2959,6627,27223
-11028,4444,-18944,3313,8044,26857
-10080,4268,-17180,2781,9142,27844
-9960,4536,-16384,2439,8568,28911
-10196,4676,-16316,2120,7616,30152
-10768,4660,-16252,2096,6174,31277
-14964,2532,-17956,7091,3754,30486
-16560,-84,-18380,9264,6578,28385
-16144,-1984,-17572,9793,10085,26753
-12624,-3524,-14132,10468,12649,25377
-11120,-4596,-12128,10420,12448,25230
-10100,-5796,-10720,9780,12232,25187
-8156,-7984,-9328,6907,9937,25195
-7960,-9012,-9292,5889,8768,24783
-7680,-9880,-9464,4958,7904,23831
-7300,-10472,-10104,3953,6677,22457
-6872,-10704,-11256,2745,5469,19959
-6628,-10980,-11632,2255,5204,18842
-6088,-11160,-11912,1449,4928,17901
-4940,-10920,-11976,108,3823,16021
-4424,-10860,-11920,-119,3310,14978
-3728,-10452,-12108,-191,2626,13732
