Accel_X,Accel_Y,Accel_Z,Gyro_X,Gyro_Y,Gyro_Z
-4372,-1116,-16744,130,7,-174
-4348,-1012,-16672,83,94,-155
-4364,-976,-16640,127,102,-124
-4316,-1128,-16748,74,-35,-172
-4308,-1084,-16716,18,51,-73
-4256,-960,-16568,145,19,-105
-4256,-1032,-16636,148,-109,-166
-4356,-1088,-16616,-37,-4,-32
-4292,-1016,-16620,59,-8,-47
-4360,-1040,-16648,72,-120,-83
-4384,-1132,-16712,-34,-106,-21
-4336,-1056,-16800,3,-226,-34
-4404,-1048,-16752,85,-310,-65
-4484,-1176,-16836,62,-225,-91
-4496,-1144,-16800,47,-158,-62
-4564,-1048,-16908,189,58,-142
-4424,-1144,-16736,134,88,-72
-4248,-1088,-16792,1,-56,-45
-4320,-1144,-16744,-48,-122,-103
-4420,-968,-16820,200,-271,-141
-4384,-1084,-16768,138,-190,-49
-4376,-1196,-16792,21,-163,-5
-4280,-1188,-16684,37,-164,-5
-4376,-1120,-16860,4,-186,-36
-4396,-1160,-16928,-1,-177,-8
-4280,-1252,-17088,5,-224,-3
-4340,-1468,-16984,-135,-225,-95
-4092,-2208,-17360,-784,-192,4
-3880,-3084,-17720,-1763,-28,154
-3784,-4020,-18228,-3505,196,283
-3608,-4816,-18780,-6248,638,831
-4748,-7116,-21924,-19551,2749,5860
-5680,-7800,-22296,-30905,5925,9430
-5696,-6716,-20956,-32768,10031,12427
-4864,-3688,-18676,-32768,13212,15232
-2032,1352,-14164,-32768,13809,18003
-908,3432,-12340,-32768,12676,17926
-804,5516,-11112,-32768,11424,17109
-192,10212,-9072,-32768,7085,12895
-152,11332,-9024,-32768,2726,10155
-1488,12980,-9604,-32768,-1030,7940
-2088,12836,-9880,-32768,-3293,6157
-3252,12324,-9812,-32768,-3017,3297
-3356,11668,-9784,-32768,-375,3351
-3340,12340,-8772,-32768,2542,4337
-3592,12200,-7568,-32768,6687,6294
-1684,13628,-5184,-32768,12001,9251
-868,14396,-3276,-32768,12383,9581
-224,15424,-1720,-32768,12312,9273
1472,15912,-480,-32768,9153,6994
1472,15452,-524,-30654,7117,5720
1312,15908,-1124,-29563,6308,5000
1796,16360,-1612,-29106,5473,4463
1696,17960,-1092,-27198,5876,5487
1928,17324,-436,-24987,6698,5459
2360,16640,132,-22727,7195,4618
3076,16396,648,-20860,7099,3670
3916,17432,2120,-17146,4637,1616
3868,18220,2348,-14856,3289,1269
3744,18880,2124,-13034,2124,1612
3524,19024,1652,-12069,1848,2627
3908,17920,1872,-10720,2896,3969
4328,17944,2596,-9197,2546,3636
4248,17804,3436,-6768,2308,3034
4512,17388,4172,-5087,1551,2306
4368,18252,4308,-4416,-1032,2277
4180,18732,3720,-3546,-2218,2452
3716,18840,3016,-2155,-2951,2570
3280,18532,2256,-345,-3156,2401
2116,18484,1208,2242,-2991,1737
1604,19072,508,3280,-2322,1525
1336,19908,72,4063,-1248,1726
1520,20604,108,4267,-292,2471
1768,21588,-284,5819,-278,3701
1264,21840,-776,7813,-746,3751
240,21336,-1888,9951,-1014,3616
-684,20600,-3008,11937,-955,3360
-2076,19120,-5084,14489,1033,2755
-2752,18108,-5600,14647,3610,3262
-3116,16356,-5316,13305,7377,4222
-2816,14656,-4416,10906,11167,5152
-940,13432,-2208,9225,14215,3903
-624,12912,-1512,9837,14388,2219
-840,12236,-1380,10265,14524,554
-1336,12108,-1372,9625,14850,-851
-2076,12752,-1336,7707,16422,-1475
-2352,12804,-1348,6951,17374,-1364
-2736,12464,-1416,6000,19094,-986
-2664,12140,-1252,4994,21083,-772
-2040,11992,380,4009,23578,-1785
-1492,12368,1324,3472,24427,-2571
-684,13140,2564,2962,24408,-3070
-668,14000,3132,2821,24423,-3148
-128,15228,4260,2550,24190,-3066
116,15852,4756,2520,23906,-3124
108,16416,4788,2867,23623,-3303
648,17144,4852,3530,23210,-3488
1136,17516,5452,4988,22324,-3489
1288,17308,5812,5123,22105,-3084
1676,17404,6120,4526,21578,-2504
2204,17192,6736,4056,20838,-2085
3324,16700,7752,3343,17608,-1610
3364,16856,7940,3734,16003,-1498
3504,16748,8260,4277,14347,-1144
3260,16240,7888,4642,12618,-826
2920,14744,7148,4156,9758,-762
2984,14572,6748,3613,8576,-961
2928,14576,6544,3113,7145,-1263
2732,14980,6060,3077,5896,-1521
2412,14872,5060,3341,4091,-1817
2212,14996,4492,3104,3371,-1882
2188,15100,3844,2924,2757,-1770
1892,15444,3408,2766,2141,-1765
1440,15176,2764,2206,1788,-1866
1436,15448,2424,1757,1336,-2114
1332,15724,2336,1610,827,-2243
1240,15916,2220,1667,431,-2407
1260,16648,1412,950,-638,-2176
1128,17292,712,705,-1059,-1872
992,17556,244,817,-1347,-1404
692,17456,-268,1059,-1354,-979
404,16404,-572,1378,-393,-810
