Accel_X,Accel_Y,Accel_Z,Gyro_X,Gyro_Y,Gyro_Z
-1628,-2380,-17448,120,-75,-70
-1612,-2296,-17172,-214,61,-83
-1604,-2128,-17112,-265,155,-60
-1436,-2128,-17032,-326,160,-86
-1500,-1884,-17072,66,41,-130
-1468,-2020,-17216,311,61,-102
-1340,-2048,-17144,369,-48,-85
-1416,-2116,-17140,336,-175,-56
-1492,-2128,-17144,225,-152,23
-1592,-2268,-17116,-380,110,113
-1520,-2148,-17176,-555,209,105
-1424,-2048,-17040,-419,198,127
-1364,-2024,-17052,-168,37,37
-1500,-2232,-17164,-85,32,23
-1400,-2272,-17152,-294,6,80
-1500,-2228,-17092,-506,30,99
-1420,-2140,-17160,-565,96,146
-1384,-2052,-16960,-481,-17,151
-1452,-2076,-17044,-277,-208,70
-1472,-2032,-17052,-88,-307,0
-1548,-2028,-17036,34,-364,-40
-1580,-2056,-17212,61,-378,15
-1628,-2164,-17120,136,-372,-84
-1588,-2176,-17180,158,-401,-200
-1696,-2008,-17352,471,-277,-276
-1676,-2180,-17376,435,-26,-225
-1532,-2240,-17420,64,-22,-167
-1548,-1824,-17368,342,-200,-340
-1640,-1660,-17448,817,-155,-455
-1600,-1504,-17416,1446,-232,-639
-1508,-628,-17512,2919,-446,-1179
-1544,1572,-17704,13357,-1481,-3113
-1636,2304,-18104,21561,-1825,-4508
-1316,1572,-18360,30282,-3241,-5824
-1228,512,-18324,32767,-5112,-7568
-2288,-4944,-19348,32767,-5843,-10778
-3068,-7288,-19696,32767,-5345,-11576
-3488,-9260,-19260,32767,-3785,-12527
-3252,-10604,-17940,32767,-2253,-13707
-1816,-13176,-12704,32767,-242,-15756
-2232,-13240,-12976,32767,809,-16366
-1420,-14756,-12068,32767,1648,-16439
-1772,-15232,-10748,32767,4849,-14633
-1488,-14444,-9408,32767,7213,-12898
-800,-12980,-7852,30225,9334,-11364
224,-11916,-6436,25763,10017,-9466
1576,-10880,-3608,18768,8760,-5997
2072,-10676,-2836,17915,7898,-4368
2332,-10804,-2280,17897,6805,-3126
2348,-11600,-1908,18199,5810,-1864
2904,-14128,-1476,16144,3610,588
3072,-15504,-1420,14091,1902,1654
2752,-17000,-1848,10928,430,2547
2260,-18024,-2408,7656,-401,3186
1152,-18892,-4204,5390,-621,2391
888,-19848,-4932,5037,-744,1267
420,-20456,-5952,3689,-447,213
-216,-20408,-6560,1955,514,-386
-764,-19820,-7708,-1111,2454,-1289
-1404,-19328,-8328,-1789,4099,-2057
-2000,-18576,-9120,-1635,6529,-2665
-2136,-18500,-9244,-2144,8752,-3008
-1372,-16568,-8012,-771,11595,-4263
-1176,-15684,-7460,1183,12236,-5061
-1156,-15320,-6836,3093,13203,-5398
-1008,-15216,-6076,4126,14177,-5363
-824,-15720,-5248,3587,15364,-5194
-1060,-15932,-4788,2444,16485,-5044
-1200,-15976,-4256,945,17997,-4985
-992,-15752,-3316,-508,19238,-4878
-200,-14516,-1052,-635,20580,-5336
216,-13964,-52,722,20861,-5516
836,-13964,812,1987,20848,-5421
1244,-14356,1480,2450,20700,-5108
1520,-14872,1932,2311,20831,-4437
1668,-15144,2104,2514,21030,-4312
1712,-15016,2340,2750,21512,-4802
1912,-15436,2828,2440,21858,-4733
2784,-15024,3780,925,20664,-4483
2620,-14904,3616,370,20123,-4444
2856,-14796,4684,-129,20408,-4202
3636,-14192,4620,144,19411,-3968
3260,-13860,5100,782,18567,-3620
3800,-13872,5548,1387,18270,-3115
4448,-13976,5832,1583,16902,-2927
4460,-14176,5836,1557,15417,-2671
4592,-13900,6772,1946,14098,-1885
4916,-14048,6800,2464,13036,-1640
5000,-14152,6992,2668,12098,-1409
5104,-13836,7184,3078,11074,-1008
5252,-14056,7156,5178,9107,-849
5028,-14580,6924,5397,8704,-699
5056,-14996,6768,4543,8294,-392
5236,-14880,6680,3808,7272,-267
4748,-14832,6652,2669,5662,-94
4860,-14888,6936,1829,5309,95
5168,-14908,6824,880,4597,326
5308,-14732,6884,-3,3747,709
5272,-14588,6660,-234,2739,780
5060,-14868,5992,-370,1084,1073
5072,-14892,5524,-630,167,1173
4708,-15104,4984,-798,-446,1263
4552,-15124,4756,-890,-879,1298
4340,-15232,3920,-155,-1444,1033
4140,-15256,3628,610,-1588,741
4084,-15272,3360,1355,-1654,496
3964,-15372,3080,1662,-1625,413
3888,-15728,2836,965,-986,789
4096,-15784,2856,532,-920,829
4300,-15848,2780,161,-1123,785
4176,-15920,2644,12,-1323,527
3956,-15880,2420,-180,-1263,353
3920,-15444,2308,-153,-861,173
3876,-15524,2340,-46,-606,80
3960,-15596,2592,-64,-358,86
4120,-15508,2564,-108,-212,63
4172,-15660,2508,-144,-193,35
4248,-15648,2580,-333,-451,-115
4020,-15248,2524,-125,-441,-198
4016,-14944,2612,391,-138,-98
4024,-14756,2608,948,60,10
