Accel_X,Accel_Y,Accel_Z,Gyro_X,Gyro_Y,Gyro_Z
-6724,-4424,-15248,-490,-543,-828
-6776,-4232,-15464,-445,-578,-966
-6944,-4184,-15460,-546,-479,-814
-7084,-4044,-15696,-638,-271,-587
-7040,-4012,-15596,-583,-91,-444
-6772,-3868,-15592,-364,-64,-364
-6748,-3796,-15528,-93,-155,-399
-6728,-3812,-15356,57,-149,-350
-6652,-3880,-15312,127,-187,-286
-6744,-4044,-15452,-6,-200,-110
-6792,-4092,-15388,-122,-115,-77
-6812,-4156,-15516,-112,-109,-21
-6804,-4204,-15576,-96,-25,-28
-6780,-4172,-15400,153,-175,-130
-6724,-4268,-15416,246,-192,-151
-6680,-4260,-15276,286,-214,-141
-6628,-4376,-15280,251,-275,-131
-6776,-4492,-15116,48,-337,-246
-6728,-4508,-15184,-4,-357,-241
-6728,-4528,-15320,-83,-300,-269
-6816,-4428,-15264,-179,-218,-256
-6572,-4360,-15228,-159,-397,-340
-6612,-4304,-15276,-191,-563,-436
-6604,-4168,-15152,-242,-634,-416
-6620,-4068,-15120,-250,-732,-371
-6472,-3792,-14864,-322,-1026,-81
-6516,-3612,-14860,-246,-1250,84
-6264,-3408,-14960,-231,-1390,190
-6068,-2988,-15120,-481,-1943,452
-6148,-1720,-15800,-1260,-3545,1989
-5964,-900,-15664,-1289,-4124,3433
-5532,-320,-15764,-885,-4606,5246
-5508,-116,-16256,-569,-5705,7051
-7004,-2528,-18452,-4546,-5260,13170
-7608,-3340,-19632,-9586,-4327,17273
-8996,-3460,-21032,-14389,-3942,20154
-10896,-3180,-21976,-17120,-3664,20860
-13444,-1076,-23600,-16336,-1687,19266
-14280,-252,-24416,-13773,-269,18514
-14748,-720,-24572,-10902,1358,17260
-14588,-2712,-25236,-10816,6335,17009
-13320,-4484,-26288,-13154,8187,17126
-12296,-4832,-26196,-17782,9119,16209
-12048,-3032,-25000,-21222,10953,15227
-10384,828,-22212,-21540,14131,13233
-9860,1064,-21752,-20753,14685,11914
-9760,1192,-21388,-20613,14538,10861
-9628,2024,-20936,-19826,14063,9588
-9932,2000,-20956,-19043,14429,8177
-10308,1656,-20344,-18250,15882,6687
-10224,1196,-19832,-17974,17595,5433
-9132,216,-17404,-19793,20802,3802
-8200,172,-16200,-20899,21498,3378
-7336,24,-15108,-22241,21745,2847
-6356,-104,-13836,-22823,21491,1430
-5152,780,-12160,-23695,20250,-1863
-4704,1376,-11332,-23732,19617,-3102
-4356,1692,-10576,-23874,18939,-4141
-4120,2060,-9904,-24566,18197,-4754
-4180,3052,-9172,-26026,17676,-4565
-4292,3652,-8680,-26777,17885,-3833
-4256,4432,-8256,-27222,18475,-3497
-3908,4904,-7112,-26861,18988,-3429
-2456,5956,-5316,-24239,19144,-4736
-1812,6216,-4820,-22920,18496,-5643
-1380,6900,-4404,-21892,17265,-6422
-1376,7800,-4460,-21291,16104,-6540
-1172,9196,-3944,-18821,15176,-6999
-1000,9784,-3724,-17378,14848,-7400
-976,10376,-3772,-16228,14430,-7814
-1072,10844,-3560,-15484,14174,-8016
-1132,11772,-3168,-14301,14242,-7860
-1028,12140,-2912,-13688,14479,-7770
-784,12484,-2152,-12962,14317,-8014
-660,13004,-2384,-11969,13537,-8566
-1056,13972,-1892,-10295,12967,-10093
-1264,14720,-1768,-9893,12680,-10347
-1408,15660,-1680,-9759,12340,-10050
-1572,16632,-1416,-9498,12301,-9052
-1428,18032,-848,-7210,12642,-6897
-1084,17872,-656,-5747,12449,-6293
-1068,17632,-440,-4680,12019,-6339
-1092,17720,-176,-4494,11539,-6543
-1440,18932,-4,-5232,10419,-5409
-1536,19696,-24,-5484,10014,-3929
-1692,20548,16,-5166,9952,-2279
-1776,21196,312,-3703,9899,-482
-992,20580,776,2078,9610,-94
-568,19500,708,4363,9046,-564
-188,18352,500,5485,8104,-668
-52,17340,284,5438,7252,-477
148,16728,-48,4842,6698,60
788,15704,-304,3742,5617,587
1144,15336,-468,2803,4869,774
1380,15372,-676,2186,3963,660
1528,15448,-800,2040,3041,-95
