Accel_X,Accel_Y,Accel_Z,Gyro_X,Gyro_Y,Gyro_Z
-4744,-2572,-16516,20,-136,-41
-4760,-2560,-16424,-5,-193,-67
-4800,-2556,-16408,-22,-122,-45
-4712,-2560,-16444,51,-150,-138
-4844,-2524,-16532,46,-133,-154
-4912,-2484,-16528,103,-79,-159
-4816,-2628,-16564,86,-42,-237
-4764,-2588,-16396,-11,-114,-213
-4876,-2548,-16504,-7,-82,-227
-4840,-2616,-16468,-47,75,-201
-4840,-2484,-16444,27,63,-149
-4632,-2484,-16408,22,-105,-141
-4748,-2480,-16360,32,-83,-90
-4740,-2508,-16396,-81,-92,-61
-4612,-2480,-16356,-97,-234,-70
-4732,-2444,-16412,-25,-337,-93
-4616,-2440,-16332,-98,-341,41
-4668,-2408,-16340,-24,-392,35
-4696,-2452,-16312,-18,-501,27
-4756,-2444,-16424,-28,-524,102
-4720,-2332,-16476,-74,-567,134
-4624,-2328,-16356,-54,-789,192
-4620,-2152,-16288,107,-970,258
-4576,-2092,-16288,255,-1178,292
-4524,-1952,-16440,388,-1487,383
-4000,-1484,-16472,1076,-2299,849
-3900,-1156,-16516,1681,-3181,975
-4032,-888,-17060,2373,-4253,1087
-5336,-1244,-18752,3050,-5699,480
-8816,436,-22832,3577,-2702,1745
-8744,2184,-23448,5548,-272,2768
-8324,2292,-23664,9301,1972,3552
-8400,1108,-23888,13455,3278,3124
-9884,-3588,-24240,17587,4508,1027
-11088,-6028,-24824,17000,5273,70
-12640,-7368,-24864,15721,7468,-712
-13092,-8132,-24596,14211,10976,-1154
-11608,-7440,-23072,12222,15095,-2651
-11120,-6908,-21560,12745,16522,-3600
-10516,-6812,-19988,13589,18504,-4482
-8884,-7264,-19240,14075,19005,-5221
-8368,-8620,-19172,12097,18664,-6764
-8584,-8784,-19372,10369,20534,-6757
-8168,-8620,-19472,8731,22397,-6751
-7608,-8252,-18876,7341,23945,-6603
-6060,-7144,-16924,7137,26505,-7048
-5396,-7156,-16012,7774,27695,-7595
-4396,-7492,-15212,7561,28174,-8077
-3584,-6176,-13720,5793,31437,-7766
-2248,-5796,-12384,5115,32312,-7116
-828,-5572,-11288,4660,31883,-6778
-444,-5280,-10996,4090,31676,-6885
-240,-4440,-9936,3680,32767,-5710
936,-3856,-9164,3813,32767,-5093
2472,-3284,-8372,4512,32767,-4604
3308,-2784,-7964,5556,32767,-4143
4644,-2424,-6808,8029,32767,-2800
5400,-2716,-6072,9403,32767,-2122
6056,-2940,-5432,10937,32244,-2001
6256,-2920,-4604,12673,31714,-2030
6992,-4268,-3412,13807,30976,-122
7652,-5012,-3428,13550,30716,840
8988,-5180,-1720,14227,29541,1182
9556,-5896,-1040,13617,28294,1625
9900,-5572,476,14537,26908,2487
10236,-6136,1508,15669,26474,2980
10852,-6732,2244,16446,25056,3070
11160,-7600,2968,16737,23782,3366
12264,-8860,4488,16004,20606,3724
12840,-9524,5168,15046,18133,3555
12916,-9716,5596,14186,15726,3362
12932,-10116,5996,13529,13592,3110
13852,-10772,6704,11555,7842,2064
13780,-11404,6704,10252,5279,2092
13960,-11952,6972,8202,3549,2128
14328,-12276,6548,6032,1254,1973
13248,-12220,5492,2141,-715,1574
12856,-12200,4796,862,-1312,1383
12576,-12116,4816,-803,-1714,1372
12280,-12140,4332,-1762,-1504,1429
12220,-11996,3888,-2516,-1225,1152
12080,-12208,2948,-2758,-1281,1119
12160,-11796,2524,-2837,-1605,1033
11816,-11968,2068,-2675,-1502,700
11424,-11500,1592,-2163,-1043,393
11672,-11568,1412,-2059,-755,321
11876,-11380,1192,-2091,-825,155
12132,-11508,1436,-2008,-887,35
12484,-11908,516,-2969,-1598,31
12308,-12028,152,-3856,-1899,174
11960,-11916,-252,-4680,-1990,263
