Accel_X,Accel_Y,Accel_Z,Gyro_X,Gyro_Y,Gyro_Z
-8320,-5660,-13680,-203,31,-109
-8304,-5640,-13620,46,-31,-100
-8408,-5672,-13640,111,-98,-91
-8500,-5668,-13648,64,-70,-52
-8504,-5684,-13744,-20,0,14
-8460,-5696,-13720,-15,-5,23
-8552,-5656,-13800,-68,19,51
-8608,-5660,-13752,4,121,40
-8520,-5764,-13728,48,201,21
-8420,-5760,-13700,62,73,-25
-8436,-5684,-13648,70,125,16
-8336,-5796,-13684,74,12,-2
-8392,-5824,-13636,77,-121,-13
-8436,-5812,-13688,-19,-113,-3
-8472,-5824,-13696,-178,35,109
-8464,-5700,-13652,-87,64,91
-8576,-5868,-13748,72,-1,-34
-8504,-5820,-13736,3,67,6
-8480,-5780,-13836,-27,114,13
-8444,-5792,-13776,58,120,-94
-8432,-5620,-13720,110,96,-105
-8312,-5692,-13680,138,42,-85
-8368,-5772,-13620,109,13,-34
-8344,-5760,-13620,2,-35,22
-8420,-5672,-13652,-45,-135,131
-8464,-5668,-13796,100,-191,6
-8900,-6084,-14568,1138,-288,-678
-9308,-6052,-15236,1253,-132,-1075
-9456,-5740,-15756,1574,818,-1261
-9012,-5596,-16312,2635,1525,-1728
-8576,-8072,-18140,4460,270,-1568
-9688,-9916,-20280,2481,-587,-754
-11384,-10964,-21836,120,-203,-150
-13032,-11216,-23336,-824,784,-76
-16788,-10952,-26520,-266,4641,-2251
-18232,-10864,-27108,154,9271,-2943
-17788,-9776,-26732,1198,15251,-5015
-16920,-9892,-24900,2247,19281,-4818
-10176,-12896,-24084,2715,20893,-3674
-9796,-14364,-23824,-2011,17180,-4044
-11728,-14000,-22800,-6839,17365,-4360
-13780,-10788,-21884,-9189,24489,-5826
-12648,-10044,-20880,-7760,26845,-5992
-11912,-10692,-21140,-7037,28226,-6032
-9284,-10800,-18588,-6449,29966,-7330
-8260,-10780,-16888,-7520,29727,-8245
-8300,-10716,-16848,-8577,28406,-7471
-8544,-10876,-16128,-11442,28108,-6756
-8976,-9704,-16072,-17600,32375,-5347
-7920,-7844,-15332,-18378,32767,-5396
-6236,-6280,-13852,-17600,32767,-5971
-4072,-4296,-11820,-14847,32767,-8151
-3292,-3572,-11076,-13694,32767,-8756
-2220,-2824,-10116,-13152,32482,-9036
-1324,-2260,-9552,-12648,31707,-9025
112,-1384,-8172,-11929,31301,-8974
1048,-976,-7436,-12023,30892,-9087
2024,-224,-6888,-12041,29906,-9152
2564,604,-6576,-11766,28985,-9014
3708,1656,-5768,-10110,27800,-8447
4376,1780,-5368,-9146,27004,-8339
5020,1728,-4600,-8614,26223,-7948
5788,2140,-4612,-8327,25207,-7563
7028,2348,-3792,-8352,22327,-6507
7124,2340,-3900,-7725,21334,-5682
7732,2192,-3524,-7791,20694,-5366
8484,2252,-3312,-7658,19641,-5146
9340,2844,-3216,-7065,17207,-4942
9940,3228,-2904,-6717,16130,-4799
10196,3356,-3068,-6136,14987,-4477
10480,3348,-3180,-5718,14065,-4144
10812,3204,-3828,-6726,13412,-3248
11048,3452,-4016,-7682,13112,-2479
11224,4164,-4012,-7935,12932,-2009
11544,4424,-3560,-7237,13100,-1604
12740,4784,-2660,-4485,13072,-1622
13616,4576,-1932,-3385,12348,-1734
14160,4676,-1856,-2662,11100,-2051
14424,4872,-1736,-2236,10281,-2063
15276,5392,-1292,-1724,8613,-1569
15552,5496,-924,-1342,7700,-1295
15736,5500,-588,-861,6834,-1014
16240,5192,-244,-393,6261,-815
17608,5236,1340,747,4844,-501
18172,5256,1960,1830,3236,-461
18248,4892,2412,2323,1936,-467
18544,5012,2884,2439,850,-352
18832,4960,3136,2107,-677,-46
18792,5500,3816,873,-4109,898
18776,5832,3916,537,-5957,1518
18572,6108,3932,454,-7772,1930
18232,6536,3988,822,-9808,2391
17768,6436,3772,1632,-11829,2776
16552,6100,2864,2149,-16021,3054
15772,5972,2544,2294,-17655,3376
15296,6032,2276,2620,-19232,3718
14832,6136,1996,3313,-21202,3964
13536,6300,1396,4686,-25316,4434
12692,6488,812,5262,-28019,4899
11516,6468,-80,6034,-30158,5419
10596,6288,-844,6714,-31609,6153
8668,5896,-1884,8861,-32768,7908
7420,5256,-2668,10026,-32768,9106
5872,4212,-3372,10014,-32768,10900
4720,3388,-4268,9021,-32768,13101
1664,1912,-6900,6038,-32768,17436
-232,1332,-7412,4650,-32768,18412
-1832,-348,-8672,4627,-32768,18701
-3368,-1328,-10004,6138,-32768,16469
-3496,-4544,-12652,9791,-32768,10621
-3076,-5020,-13032,8727,-29484,8116
-3120,-4476,-12880,7797,-26504,6615
-3356,-3664,-11880,7082,-24398,5817
-3532,-3000,-11344,6528,-22810,6598
-3464,-3248,-11184,5526,-23180,7766
-3684,-3964,-11716,4829,-24704,8225
-4596,-4628,-13104,4418,-26248,7054
-6912,-4456,-14904,4404,-23583,3242
-7232,-3888,-14788,6214,-21218,1666
-7012,-3960,-14616,7832,-20286,1118
-7168,-4560,-14956,8163,-20363,1360
-8416,-5672,-16136,5830,-20320,2761
